parameter,evergreen_broadleaf,deciduous_broadleaf,evergreen_needleleaf_conifer,local_deciduous_broadleaf,evergreen_broadleaf_Rhododendron,grass,shrub,evergreen_broadleaf (Schima/Quercus) | citation_short,deciduous_broadleaf (Sal) | citation_short,evergreen_needleleaf_conifer (Chir pine) | citation_short,local_deciduous_broadleaf | citation_short,evergreen_broadleaf_ericaceous (Rhododendron) | citation_short,grass | citation_short,shrub | citation_short
epc.tmax,45,45,45,45,45,35,42.5,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.tcoef,0.48,0.48,0.48,0.48,0.48,0.2,0.2,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.psi_open,-1,-1,-1,-1,-1,-0.73,-0.81,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.psi_close,-3,-3,-3,-3,-3,-2.7,-4.2,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.vpd_open,0,0,0,0,0,,,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),,
epc.vpd_close,2320,2320,2320,2320,2320,,,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),,
epc.gl_smax,0.00909091,0.00529293,0.00709091,0.00426263,0.00987879,0.005,0.003072857,Joshi & Garkoti (2023); Rawat et al. (2021); Poudyal et al. (2004),Singh & Kushwaha (2005); Borchert (1994); White et al. (2000),Zobel et al. (2001); Poudyal et al. (2003); Poudyal et al. (2004),White et al. (2000); Singh & Kushwaha (2005); TRY Database (2024),Rawat et al. (2021); Krishna & Garkoti (2022)*; Poudyal et al. (2004),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.gl_c,0.000006,0.000006,0.000006,0.000006,0.000006,0.0005,3.07E-05,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.phenology_flag,dynamic,dynamic,dynamic,dynamic,dynamic,static,static,Jolly et al. (2005),Jolly et al. (2005),Jolly et al. (2005),Jolly et al. (2005),Jolly et al. (2005),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.phenology.type,EVERGREEN,DECID,EVERGREEN,DECID,EVERGREEN,EVERGREEN,EVERGREEN,Singh et al. (1994); Poudyal et al. (2012); Singh & Kushwaha (2005),Singh et al. (1994); Poudyal et al. (2012); Singh & Kushwaha (2005),Singh et al. (1994); Poudyal et al. (2012); Singh & Kushwaha (2005),Singh et al. (1994); Poudyal et al. (2012); Singh & Kushwaha (2005),Singh et al. (1994); Poudyal et al. (2012); Singh & Kushwaha (2005),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
